"#","Reference","Qty","Value","Footprint","DNP"
    "1","C0L1, C0R1, C3b1","3","1000uF","Artisyn_Components:Audio_1000uF",""
    "2","Cb1","1","100uF","Artisyn_Components:Audio_100uF",""
    "3","Cbst2","1","470.0 nF","Capacitor_SMD:C_0805_2012Metric",""
    "4","Ccomp3","1","18.0 nF","Capacitor_SMD:C_1812_4532Metric",""
    "5","Ccomp4","1"," 1.0 nF","Capacitor_SMD:C_0805_2012Metric","" WE HAVE THIS
    "6","CiL1, CiR1, Csc1, CsnL1, CsnR1","5",".1uF","Capacitor_SMD:C_0805_2012Metric",""
    "7","Cin2","1","270uF","Artisyn_Components:PCAP_SVP_E7_PAN",""
    "8","Cout2","1","560.0 uF","Artisyn_Components:PCAP_SVP_F12_PAN",""
    "9","Coutx2","1","47.0 uF","Capacitor_SMD:C_1206_3216Metric",""
    "10","Cres2, Cvin2","2"," 470.0 nF","Capacitor_SMD:C_0805_2012Metric",""
    "11","Css2","1"," 33.0 nF","Capacitor_SMD:C_0805_2012Metric",""
    "12","Cvcc2","1","10.0 uF","Capacitor_SMD:C_0805_2012Metric",""
    "13","Dbst2","1","D_Schottky","Diode_SMD:D_SMA",""
    "14","J1","1","XT60-M","Artisyn_Components:AMASS_XT60-M",""
    "15","J3","1","RL_Audio_From_Main","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
    "16","J4","1","To_Speaker_L","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
    "17","J5","1","To_Speaker_R","Connector_PinHeader_2.54mm:PinHeader_1x02_P2.54mm_Vertical",""
    "18","L2","1"," 3.3 µH","Artisyn_Components:IND_R3-R_EAT",""
    "19","M3","1","CSD17581Q3","Artisyn_Components:CSD17309Q3",""
    "20","M4","1","CSD17581Q3A","Artisyn_Components:CSD17309Q3A",""
    "21","Rcomp2","1"," 23.7k","Resistor_SMD:R_0805_2012Metric",""
    "22","Rfbb2","1","3.65k","Resistor_SMD:R_0805_2012Metric",""
    "23","Rfbt2","1"," 39.0k","Resistor_SMD:R_0805_2012Metric",""
    "24","Rsense2","1","1.5m","Resistor_SMD:R_2512_6332Metric",""
    "25","Rslope2","1"," 150.0k","Resistor_SMD:R_0805_2012Metric",""
    "26","RsnL1, RsnR1","2","2.7","Resistor_SMD:R_0805_2012Metric",""
    "27","Rt2","1"," 41.2k","Resistor_SMD:R_0805_2012Metric",""
    "28","Ruvb2","1","19.1k","Resistor_SMD:R_0805_2012Metric",""
    "29","Ruvt2","1","49.9k","Resistor_SMD:R_0805_2012Metric",""
    "30","Rvin2","1","3.01","Resistor_SMD:R_1206_3216Metric",""
    "31","U1","1","LM4752TS","Artisyn_Components:LM4752",""
    "32","U2","1","LM5122MH/NOPB","Artisyn_Components:LM512220A_L",""
